exp,Kp,u,t,i
15,1.0975609756097562,7.777777777777778,0.3276956081390381,0.0
15,1.0975609756097562,7.777777777777778,0.3319835662841797,-0.03
15,1.0975609756097562,7.777777777777778,0.3361935615539551,-0.07
15,1.0975609756097562,7.777777777777778,0.34024858474731445,-0.02
15,1.0975609756097562,7.777777777777778,0.34423828125,0.0
15,1.0975609756097562,7.777777777777778,0.34803152084350586,0.04
15,1.0975609756097562,7.777777777777778,0.3522155284881592,-0.03
15,1.0975609756097562,7.777777777777778,0.35571765899658203,-0.01
15,1.0975609756097562,7.777777777777778,0.36022472381591797,-0.06
15,1.0975609756097562,7.777777777777778,0.36375904083251953,-0.07
15,1.0975609756097562,7.777777777777778,0.3677089214324951,0.0
15,1.0975609756097562,7.777777777777778,0.3718581199645996,-0.02
15,1.0975609756097562,7.777777777777778,0.3757624626159668,0.07
15,1.0975609756097562,7.777777777777778,0.38022398948669434,-0.02
15,1.0975609756097562,7.777777777777778,0.3842160701751709,0.06
15,1.0975609756097562,7.777777777777778,0.38825011253356934,0.0
15,1.0975609756097562,7.777777777777778,0.3916137218475342,0.03
15,1.0975609756097562,7.777777777777778,0.3956172466278076,-0.06
15,1.0975609756097562,7.777777777777778,0.3996448516845703,-0.05
15,1.0975609756097562,7.777777777777778,0.4037668704986572,0.03
15,1.0975609756097562,7.777777777777778,0.4077718257904053,0.02
15,1.0975609756097562,7.777777777777778,0.41234850883483887,0.0
15,1.0975609756097562,7.777777777777778,0.41690945625305176,0.0
15,1.0975609756097562,7.777777777777778,0.42076587677001953,-0.04
15,1.0975609756097562,7.777777777777778,0.42520928382873535,-0.12
15,1.0975609756097562,7.777777777777778,0.4292149543762207,0.05
15,1.0975609756097562,7.777777777777778,0.43293046951293945,-0.09
15,1.0975609756097562,7.777777777777778,0.43726181983947754,0.01
15,1.0975609756097562,7.777777777777778,0.44065356254577637,-0.02
15,1.0975609756097562,7.777777777777778,0.44518423080444336,-0.06
15,1.0975609756097562,7.777777777777778,0.44919466972351074,-0.06
15,1.0975609756097562,7.777777777777778,0.4531688690185547,-0.01
15,1.0975609756097562,7.777777777777778,0.45727038383483887,0.08
15,1.0975609756097562,7.777777777777778,0.4608771800994873,0.07
15,1.0975609756097562,7.777777777777778,0.4648888111114502,-0.05
15,1.0975609756097562,7.777777777777778,0.46919798851013184,0.03
15,1.0975609756097562,7.777777777777778,0.47260355949401855,-0.05
15,1.0975609756097562,7.777777777777778,0.4766666889190674,-0.03
15,1.0975609756097562,7.777777777777778,0.4813659191131592,0.0
15,1.0975609756097562,7.777777777777778,0.486278772354126,-0.07
15,1.0975609756097562,7.777777777777778,0.4896883964538574,0.08
15,1.0975609756097562,7.777777777777778,0.49356508255004883,0.0
15,1.0975609756097562,7.777777777777778,0.49788928031921387,0.03
15,1.0975609756097562,7.777777777777778,0.5020525455474854,0.06
15,1.0975609756097562,7.777777777777778,0.505767822265625,0.04
15,1.0975609756097562,7.777777777777778,0.5098028182983398,0.0
15,1.0975609756097562,7.777777777777778,0.5137708187103271,-0.01
15,1.0975609756097562,7.777777777777778,0.5183851718902588,0.1
15,1.0975609756097562,7.777777777777778,0.5227162837982178,0.12
15,1.0975609756097562,7.777777777777778,0.5266497135162354,0.02
15,1.0975609756097562,7.777777777777778,0.5306932926177979,0.01
15,1.0975609756097562,7.777777777777778,0.5353143215179443,-0.04
15,1.0975609756097562,7.777777777777778,0.540229082107544,-0.03
15,1.0975609756097562,7.777777777777778,0.5442590713500977,-0.04
15,1.0975609756097562,7.777777777777778,0.5476937294006348,0.06
15,1.0975609756097562,7.777777777777778,0.552229642868042,-0.09
15,1.0975609756097562,7.777777777777778,0.555692195892334,0.08
15,1.0975609756097562,7.777777777777778,0.5598161220550537,-0.04
15,1.0975609756097562,7.777777777777778,0.5637242794036865,-0.07
15,1.0975609756097562,7.777777777777778,0.5676722526550293,-0.01
15,1.0975609756097562,7.777777777777778,0.5716447830200195,0.04
15,1.0975609756097562,7.777777777777778,0.5762195587158203,-0.05
15,1.0975609756097562,7.777777777777778,0.5802180767059326,-0.02
15,1.0975609756097562,7.777777777777778,0.5838117599487305,-0.17
15,1.0975609756097562,7.777777777777778,0.5877251625061035,-0.06
15,1.0975609756097562,7.777777777777778,0.5916435718536377,-0.03
15,1.0975609756097562,7.777777777777778,0.5955421924591064,-0.03
15,1.0975609756097562,7.777777777777778,0.6000325679779053,0.02
15,1.0975609756097562,7.777777777777778,0.6039097309112549,-0.01
15,1.0975609756097562,7.777777777777778,0.6081809997558594,-0.07
15,1.0975609756097562,7.777777777777778,0.6120469570159912,-0.01
15,1.0975609756097562,7.777777777777778,0.6162111759185791,-0.03
15,1.0975609756097562,7.777777777777778,0.6200165748596191,-0.07
15,1.0975609756097562,7.777777777777778,0.6236553192138672,-0.06
15,1.0975609756097562,7.777777777777778,0.6276447772979736,0.07
15,1.0975609756097562,7.777777777777778,0.6317722797393799,0.1
15,1.0975609756097562,7.777777777777778,0.6364014148712158,0.02
15,1.0975609756097562,7.777777777777778,0.6406717300415039,0.16
15,1.0975609756097562,7.777777777777778,0.6446170806884766,-0.03
15,1.0975609756097562,7.777777777777778,0.6490232944488525,-0.06
15,1.0975609756097562,7.777777777777778,0.6530976295471191,0.08
15,1.0975609756097562,7.777777777777778,0.6568856239318848,0.0
15,1.0975609756097562,7.777777777777778,0.6607820987701416,-0.01
15,1.0975609756097562,7.777777777777778,0.6648144721984863,0.08
15,1.0975609756097562,7.777777777777778,0.6687817573547363,-0.06
15,1.0975609756097562,7.777777777777778,0.6727707386016846,-0.01
15,1.0975609756097562,7.777777777777778,0.6766955852508545,-0.2
15,1.0975609756097562,7.777777777777778,0.6807620525360107,0.0
15,1.0975609756097562,7.777777777777778,0.684967041015625,0.11
15,1.0975609756097562,7.777777777777778,0.6888470649719238,0.09
15,1.0975609756097562,7.777777777777778,0.6927294731140137,-0.04
15,1.0975609756097562,7.777777777777778,0.6965878009796143,0.0
15,1.0975609756097562,7.777777777777778,0.7009265422821045,0.07
15,1.0975609756097562,7.777777777777778,0.7051160335540771,0.07
15,1.0975609756097562,7.777777777777778,0.7087705135345459,0.01
15,1.0975609756097562,7.777777777777778,0.7127206325531006,0.09
15,1.0975609756097562,7.777777777777778,0.7167837619781494,0.03
15,1.0975609756097562,7.777777777777778,0.7206971645355225,0.03
15,1.0975609756097562,7.777777777777778,0.7246971130371094,-0.06
15,1.0975609756097562,7.777777777777778,0.7287037372589111,0.0
15,1.0975609756097562,7.777777777777778,0.7333950996398926,0.12
15,1.0975609756097562,7.777777777777778,0.7379677295684814,0.1
15,1.0975609756097562,7.777777777777778,0.7418379783630371,0.07
15,1.0975609756097562,7.777777777777778,0.7462544441223145,-0.02
15,1.0975609756097562,7.777777777777778,0.7499270439147949,-0.05
15,1.0975609756097562,7.777777777777778,0.7539186477661133,-0.01
15,1.0975609756097562,7.777777777777778,0.7577235698699951,0.08
15,1.0975609756097562,7.777777777777778,0.7622284889221191,-0.02
15,1.0975609756097562,7.777777777777778,0.765784740447998,0.0
15,1.0975609756097562,7.777777777777778,0.7696683406829834,0.1
15,1.0975609756097562,7.777777777777778,0.7735743522644043,0.0
15,1.0975609756097562,7.777777777777778,0.7779390811920166,0.01
15,1.0975609756097562,7.777777777777778,0.7820332050323486,0.17
15,1.0975609756097562,7.777777777777778,0.7862069606781006,-0.13
15,1.0975609756097562,7.777777777777778,0.7902181148529053,-0.05
15,1.0975609756097562,7.777777777777778,0.7936122417449951,-0.03
15,1.0975609756097562,7.777777777777778,0.7975239753723145,-0.05
15,1.0975609756097562,7.777777777777778,0.801659107208252,0.04
15,1.0975609756097562,7.777777777777778,0.8054451942443848,0.12
15,1.0975609756097562,7.777777777777778,0.8093571662902832,0.08
15,1.0975609756097562,7.777777777777778,0.8134286403656006,-0.06
15,1.0975609756097562,7.777777777777778,0.8173384666442871,0.02
15,1.0975609756097562,7.777777777777778,0.8214168548583984,0.04
15,1.0975609756097562,7.777777777777778,0.8254220485687256,0.0
15,1.0975609756097562,7.777777777777778,0.8294126987457275,0.0
15,1.0975609756097562,7.777777777777778,0.8334522247314453,0.11
15,1.0975609756097562,7.777777777777778,0.8374180793762207,-0.05
15,1.0975609756097562,7.777777777777778,0.8414962291717529,-0.03
15,1.0975609756097562,7.777777777777778,0.8454527854919434,0.03
15,1.0975609756097562,7.777777777777778,0.8493955135345459,0.03
15,1.0975609756097562,7.777777777777778,0.8535714149475098,0.01
15,1.0975609756097562,7.777777777777778,0.8576211929321289,0.06
15,1.0975609756097562,7.777777777777778,0.8615627288818359,0.07
15,1.0975609756097562,7.777777777777778,0.8656210899353027,-0.03
15,1.0975609756097562,7.777777777777778,0.8695642948150635,-0.03
15,1.0975609756097562,7.777777777777778,0.8736343383789062,-0.13
15,1.0975609756097562,7.777777777777778,0.877483606338501,0.01
15,1.0975609756097562,7.777777777777778,0.8815290927886963,-0.06
15,1.0975609756097562,7.777777777777778,0.8855342864990234,-0.04
15,1.0975609756097562,7.777777777777778,0.8895683288574219,0.03
15,1.0975609756097562,7.777777777777778,0.8936550617218018,0.01
15,1.0975609756097562,7.777777777777778,0.8976342678070068,-0.04
15,1.0975609756097562,7.777777777777778,0.9016034603118896,0.06
15,1.0975609756097562,7.777777777777778,0.9056382179260254,-0.03
15,1.0975609756097562,7.777777777777778,0.9096043109893799,-0.11
15,1.0975609756097562,7.777777777777778,0.9135274887084961,-0.05
15,1.0975609756097562,7.777777777777778,0.9176661968231201,-0.02
15,1.0975609756097562,7.777777777777778,0.9216659069061279,0.1
15,1.0975609756097562,7.777777777777778,0.9257264137268066,0.05
15,1.0975609756097562,7.777777777777778,0.9297821521759033,0.01
15,1.0975609756097562,7.777777777777778,0.9338109493255615,-0.01
15,1.0975609756097562,7.777777777777778,0.9377174377441406,0.04
15,1.0975609756097562,7.777777777777778,0.9418234825134277,0.01
15,1.0975609756097562,7.777777777777778,0.9457306861877441,-0.03
15,1.0975609756097562,7.777777777777778,0.9497296810150146,0.08
15,1.0975609756097562,7.777777777777778,0.9536890983581543,0.0
15,1.0975609756097562,7.777777777777778,0.9578170776367188,0.12
15,1.0975609756097562,7.777777777777778,0.9617176055908203,0.18
15,1.0975609756097562,7.777777777777778,0.9657237529754639,0.04
15,1.0975609756097562,7.777777777777778,0.9697260856628418,-0.01
15,1.0975609756097562,7.777777777777778,0.9737048149108887,-0.05
