exp,Ki,u,t,i
0,0.0002,5.0,0.6784670352935791,0.03
0,0.0002,5.0,0.6820054054260254,0.04
0,0.0002,5.0,0.6859924793243408,0.04
0,0.0002,5.0,0.6900160312652588,0.1
0,0.0002,5.0,0.6945164203643799,0.01
0,0.0002,5.0,0.6991498470306396,0.14
0,0.0002,5.0,0.7034182548522949,0.01
0,0.0002,5.0,0.7071020603179932,0.07
0,0.0002,5.0,0.7109298706054688,0.08
0,0.0002,5.0,0.7148518562316895,0.11
0,0.0002,5.0,0.7188727855682373,0.02
0,0.0002,5.0,0.7228684425354004,0.06
0,0.0002,5.0,0.7268929481506348,0.15
0,0.0002,5.0,0.7309694290161133,0.24
0,0.0002,5.0,0.7348988056182861,0.1
0,0.0002,5.0,0.7388670444488525,0.0
0,0.0002,5.0,0.7429780960083008,0.2
0,0.0002,5.0,0.7469356060028076,0.14
0,0.0002,5.0,0.7509698867797852,0.04
0,0.0002,5.0,0.755007266998291,0.02
0,0.0002,5.0,0.7596211433410645,0.04
0,0.0002,5.0,0.7640960216522217,0.03
0,0.0002,5.0,0.7685089111328125,-0.05
0,0.0002,5.0,0.7724957466125488,0.03
0,0.0002,5.0,0.7765123844146729,0.03
0,0.0002,5.0,0.7799947261810303,0.05
0,0.0002,5.0,0.7839493751525879,0.15
0,0.0002,5.0,0.7885215282440186,0.06
0,0.0002,5.0,0.7920780181884766,0.01
0,0.0002,5.0,0.7960243225097656,0.02
0,0.0002,5.0,0.8004767894744873,0.05
0,0.0002,5.0,0.8041045665740967,0.2
0,0.0002,5.0,0.8085036277770996,0.04
0,0.0002,5.0,0.8124761581420898,0.32
0,0.0002,5.0,0.8160934448242188,0.28
0,0.0002,5.0,0.8199691772460938,0.07
0,0.0002,5.0,0.8243470191955566,0.28
0,0.0002,5.0,0.8281476497650146,0.15
0,0.0002,5.0,0.8319590091705322,0.17
0,0.0002,5.0,0.8358395099639893,0.14
0,0.0002,5.0,0.8399300575256348,0.08
0,0.0002,5.0,0.8440032005310059,0.1
0,0.0002,5.0,0.8481721878051758,0.17
0,0.0002,5.0,0.852180004119873,0.0
0,0.0002,5.0,0.8567445278167725,0.13
0,0.0002,5.0,0.8611617088317871,0.14
0,0.0002,5.0,0.865217924118042,0.15
0,0.0002,5.0,0.8693993091583252,0.01
0,0.0002,5.0,0.8735437393188477,-0.02
0,0.0002,5.0,0.8771224021911621,0.07
0,0.0002,5.0,0.8809640407562256,-0.03
0,0.0002,5.0,0.8855688571929932,0.06
0,0.0002,5.0,0.8904943466186523,0.01
0,0.0002,5.0,0.894068717956543,0.05
0,0.0002,5.0,0.898240327835083,-0.02
0,0.0002,5.0,0.9025552272796631,-0.03
0,0.0002,5.0,0.9074153900146484,0.07
0,0.0002,5.0,0.9110417366027832,0.16
0,0.0002,5.0,0.9155261516571045,0.02
0,0.0002,5.0,0.919090986251831,0.06
0,0.0002,5.0,0.9230508804321289,0.18
0,0.0002,5.0,0.9270377159118652,0.04
0,0.0002,5.0,0.9310147762298584,0.22
0,0.0002,5.0,0.9348618984222412,0.04
0,0.0002,5.0,0.9389495849609375,0.07
0,0.0002,5.0,0.9429700374603271,0.23
0,0.0002,5.0,0.9471051692962646,-0.03
0,0.0002,5.0,0.9512801170349121,0.21
0,0.0002,5.0,0.9556267261505127,0.21
0,0.0002,5.0,0.9601411819458008,0.04
0,0.0002,5.0,0.9645159244537354,0.05
0,0.0002,5.0,0.9680356979370117,0.11
0,0.0002,5.0,0.9721145629882812,0.11
0,0.0002,5.0,0.9761593341827393,0.19
0,0.0002,5.0,0.980139970779419,0.06
0,0.0002,5.0,0.9839491844177246,0.0
0,0.0002,5.0,0.9880495071411133,0.05
0,0.0002,5.0,0.9925107955932617,0.1
0,0.0002,5.0,0.9958984851837158,0.08
0,0.0002,5.0,1.000519037246704,0.06
0,0.0002,5.0,1.00797438621521,0.03
0,0.0002,5.0,1.0122499465942383,0.07
0,0.0002,5.0,1.016031265258789,0.25
0,0.0002,5.0,1.0205039978027344,0.16
0,0.0002,5.0,1.0244369506835938,0.26
0,0.0002,5.0,1.0283277034759521,0.26
0,0.0002,5.0,1.0324907302856445,0.2
0,0.0002,5.0,1.0358669757843018,0.28
0,0.0002,5.0,1.0399491786956787,0.32
0,0.0002,5.0,1.0440073013305664,0.32
0,0.0002,5.0,1.0480389595031738,0.32
0,0.0002,5.0,1.0520601272583008,0.2
0,0.0002,5.0,1.05613112449646,0.32
0,0.0002,5.0,1.060004711151123,0.46
0,0.0002,5.0,1.0644211769104004,0.29
0,0.0002,5.0,1.0683932304382324,0.26
0,0.0002,5.0,1.0723910331726074,0.33
0,0.0002,5.0,1.0760302543640137,0.39
0,0.0002,5.0,1.0800256729125977,0.45
0,0.0002,5.0,1.0839369297027588,0.58
0,0.0002,5.0,1.0879831314086914,0.36
0,0.0002,5.0,1.0923950672149658,0.43
0,0.0002,5.0,1.0964312553405762,0.31
0,0.0002,5.0,1.1004483699798584,0.45
0,0.0002,5.0,1.1043615341186523,0.37
0,0.0002,5.0,1.1080873012542725,0.22
0,0.0002,5.0,1.112370491027832,0.23
0,0.0002,5.0,1.116441249847412,0.29
0,0.0002,5.0,1.1202304363250732,0.42
0,0.0002,5.0,1.124159336090088,0.53
0,0.0002,5.0,1.1283376216888428,0.52
0,0.0002,5.0,1.1319911479949951,0.35000000000000003
0,0.0002,5.0,1.1358511447906494,0.72
0,0.0002,5.0,1.1398513317108154,0.51
0,0.0002,5.0,1.1440141201019287,0.41000000000000003
0,0.0002,5.0,1.148033618927002,0.43
0,0.0002,5.0,1.1520814895629883,0.55
0,0.0002,5.0,1.1561622619628906,0.55
0,0.0002,5.0,1.1601231098175049,0.6
0,0.0002,5.0,1.1640517711639404,0.63
0,0.0002,5.0,1.168367862701416,0.79
0,0.0002,5.0,1.1725544929504395,0.62
0,0.0002,5.0,1.1775920391082764,0.63
0,0.0002,5.0,1.1819474697113037,0.78
0,0.0002,5.0,1.1859691143035889,0.81
0,0.0002,5.0,1.190626859664917,0.8300000000000001
0,0.0002,5.0,1.195547103881836,0.93
0,0.0002,5.0,1.2004859447479248,0.96
0,0.0002,5.0,1.2044968605041504,1.04
0,0.0002,5.0,1.208282709121704,1.01
0,0.0002,5.0,1.2124764919281006,1.19
0,0.0002,5.0,1.2164888381958008,1.23
0,0.0002,5.0,1.2200236320495605,1.29
0,0.0002,5.0,1.2239716053009033,1.3800000000000001
0,0.0002,5.0,1.2277755737304688,1.46
0,0.0002,5.0,1.2318921089172363,1.56
0,0.0002,5.0,1.235825538635254,1.6300000000000001
0,0.0002,5.0,1.239928960800171,1.74
0,0.0002,5.0,1.2439768314361572,1.77
0,0.0002,5.0,1.2481019496917725,1.9000000000000001
0,0.0002,5.0,1.2520761489868164,2.02
0,0.0002,5.0,1.256147861480713,2.0300000000000002
0,0.0002,5.0,1.2602310180664062,2.05
0,0.0002,5.0,1.2644760608673096,2.22
0,0.0002,5.0,1.2680401802062988,2.18
0,0.0002,5.0,1.2725234031677246,2.22
0,0.0002,5.0,1.2765064239501953,2.23
0,0.0002,5.0,1.2798259258270264,2.37
0,0.0002,5.0,1.284452199935913,2.49
0,0.0002,5.0,1.2884232997894287,2.57
0,0.0002,5.0,1.2924737930297852,2.66
0,0.0002,5.0,1.295952320098877,2.72
0,0.0002,5.0,1.3004686832427979,2.72
0,0.0002,5.0,1.3039679527282715,2.79
0,0.0002,5.0,1.3079371452331543,2.82
0,0.0002,5.0,1.311964750289917,2.9
0,0.0002,5.0,1.31605863571167,2.9
0,0.0002,5.0,1.320451021194458,2.94
0,0.0002,5.0,1.3244903087615967,2.91
0,0.0002,5.0,1.3280208110809326,2.99
0,0.0002,5.0,1.331925868988037,2.99
0,0.0002,5.0,1.3359262943267822,3.06
0,0.0002,5.0,1.339888095855713,3.0700000000000003
0,0.0002,5.0,1.3438754081726074,3.0700000000000003
0,0.0002,5.0,1.3481733798980713,3.13
0,0.0002,5.0,1.3522319793701172,3.13
0,0.0002,5.0,1.3562402725219727,3.14
0,0.0002,5.0,1.3601114749908447,3.17
0,0.0002,5.0,1.364630937576294,3.24
0,0.0002,5.0,1.3695120811462402,3.2600000000000002
0,0.0002,5.0,1.3730778694152832,3.37
0,0.0002,5.0,1.3770923614501953,3.25
0,0.0002,5.0,1.380946397781372,3.39
0,0.0002,5.0,1.385056972503662,3.34
0,0.0002,5.0,1.3891468048095703,3.35
0,0.0002,5.0,1.3930881023406982,3.36
0,0.0002,5.0,1.3975486755371094,3.36
0,0.0002,5.0,1.4025404453277588,3.41
0,0.0002,5.0,1.4065287113189697,3.4
0,0.0002,5.0,1.4099781513214111,3.44
0,0.0002,5.0,1.4145026206970215,3.48
0,0.0002,5.0,1.417863368988037,3.52
0,0.0002,5.0,1.4220099449157715,3.63
0,0.0002,5.0,1.4265382289886475,3.65
0,0.0002,5.0,1.430049180984497,3.7800000000000002
0,0.0002,5.0,1.4340438842773438,3.89
0,0.0002,5.0,1.4379315376281738,3.96
0,0.0002,5.0,1.4420521259307861,4.05
0,0.0002,5.0,1.4460673332214355,4.12
0,0.0002,5.0,1.450188159942627,4.16
0,0.0002,5.0,1.4542276859283447,4.21
0,0.0002,5.0,1.458164930343628,4.25
0,0.0002,5.0,1.462167501449585,4.29
0,0.0002,5.0,1.4662201404571533,4.3100000000000005
0,0.0002,5.0,1.470259428024292,4.32
0,0.0002,5.0,1.4741573333740234,4.3500000000000005
0,0.0002,5.0,1.4783923625946045,4.38
0,0.0002,5.0,1.4825167655944824,4.4
0,0.0002,5.0,1.4871852397918701,4.41
0,0.0002,5.0,1.4910335540771484,4.44
0,0.0002,5.0,1.4951386451721191,4.44
0,0.0002,5.0,1.4991533756256104,4.48
0,0.0002,5.0,1.5035521984100342,4.49
0,0.0002,5.0,1.5085713863372803,4.51
0,0.0002,5.0,1.513512372970581,4.54
0,0.0002,5.0,1.5170509815216064,4.53
0,0.0002,5.0,1.52152681350708,4.54
0,0.0002,5.0,1.5253641605377197,4.58
0,0.0002,5.0,1.5295181274414062,4.57
0,0.0002,5.0,1.5335495471954346,4.57
0,0.0002,5.0,1.5379362106323242,4.61
0,0.0002,5.0,1.5419418811798096,4.62
0,0.0002,5.0,1.5459818840026855,4.62
0,0.0002,5.0,1.5502328872680664,4.65
0,0.0002,5.0,1.5541255474090576,4.63
0,0.0002,5.0,1.5581889152526855,4.67
0,0.0002,5.0,1.562060832977295,4.67
0,0.0002,5.0,1.5665185451507568,4.67
0,0.0002,5.0,1.5704832077026367,4.67
0,0.0002,5.0,1.574486494064331,4.68
0,0.0002,5.0,1.5784647464752197,4.69
0,0.0002,5.0,1.5819141864776611,4.71
0,0.0002,5.0,1.5864109992980957,4.73
0,0.0002,5.0,1.5899345874786377,4.7
0,0.0002,5.0,1.5937690734863281,4.71
0,0.0002,5.0,1.597705364227295,4.75
0,0.0002,5.0,1.6016638278961182,4.74
0,0.0002,5.0,1.6056385040283203,4.76
0,0.0002,5.0,1.6099607944488525,4.76
0,0.0002,5.0,1.613999843597412,4.75
0,0.0002,5.0,1.6180193424224854,4.78
0,0.0002,5.0,1.6218230724334717,4.79
0,0.0002,5.0,1.6260137557983398,4.79
0,0.0002,5.0,1.6299452781677246,4.8
0,0.0002,5.0,1.6339740753173828,4.8
0,0.0002,5.0,1.6378862857818604,4.8
0,0.0002,5.0,1.641951322555542,4.8
0,0.0002,5.0,1.6460425853729248,4.8
0,0.0002,5.0,1.6500465869903564,4.8
0,0.0002,5.0,1.6540744304656982,4.8
0,0.0002,5.0,1.658202886581421,4.83
0,0.0002,5.0,1.6620981693267822,4.84
0,0.0002,5.0,1.6660678386688232,4.83
0,0.0002,5.0,1.6700549125671387,4.84
0,0.0002,5.0,1.6739802360534668,4.84
0,0.0002,5.0,1.6782305240631104,4.84
0,0.0002,5.0,1.682478427886963,4.84
0,0.0002,5.0,1.6865179538726807,4.84
0,0.0002,5.0,1.6899662017822266,4.8500000000000005
0,0.0002,5.0,1.6944630146026611,4.84
0,0.0002,5.0,1.6981918811798096,4.86
0,0.0002,5.0,1.7020502090454102,4.87
0,0.0002,5.0,1.7064356803894043,4.86
0,0.0002,5.0,1.710235357284546,4.87
0,0.0002,5.0,1.713923692703247,4.89
0,0.0002,5.0,1.7184605598449707,4.89
0,0.0002,5.0,1.7220919132232666,4.89
0,0.0002,5.0,1.7259235382080078,4.89
0,0.0002,5.0,1.729900598526001,4.89
0,0.0002,5.0,1.7339015007019043,4.89
0,0.0002,5.0,1.737919569015503,4.88
0,0.0002,5.0,1.741828203201294,4.9
0,0.0002,5.0,1.7459383010864258,4.88
0,0.0002,5.0,1.7501981258392334,4.91
0,0.0002,5.0,1.754183053970337,4.88
0,0.0002,5.0,1.7580418586730957,4.89
0,0.0002,5.0,1.7620773315429688,4.9
0,0.0002,5.0,1.7660200595855713,4.91
0,0.0002,5.0,1.7700915336608887,4.91
0,0.0002,5.0,1.7746038436889648,4.92
0,0.0002,5.0,1.7793796062469482,4.92
0,0.0002,5.0,1.783186912536621,4.92
0,0.0002,5.0,1.7875068187713623,4.93
0,0.0002,5.0,1.7910144329071045,4.93
0,0.0002,5.0,1.795454978942871,4.93
0,0.0002,5.0,1.799032211303711,4.92
0,0.0002,5.0,1.80299711227417,4.92
0,0.0002,5.0,1.8073713779449463,4.95
0,0.0002,5.0,1.8108305931091309,4.93
0,0.0002,5.0,1.815363883972168,4.93
0,0.0002,5.0,1.8193180561065674,4.93
0,0.0002,5.0,1.8228509426116943,4.93
0,0.0002,5.0,1.8268601894378662,4.93
0,0.0002,5.0,1.8308143615722656,4.93
0,0.0002,5.0,1.8349573612213135,4.93
0,0.0002,5.0,1.8386547565460205,4.93
0,0.0002,5.0,1.8427858352661133,4.93
0,0.0002,5.0,1.8469834327697754,4.94
0,0.0002,5.0,1.851057767868042,4.94
0,0.0002,5.0,1.854942798614502,4.95
0,0.0002,5.0,1.8589551448822021,4.92
0,0.0002,5.0,1.8629496097564697,4.95
0,0.0002,5.0,1.8671009540557861,4.95
0,0.0002,5.0,1.871049404144287,4.96
0,0.0002,5.0,1.8749058246612549,4.95
0,0.0002,5.0,1.8793597221374512,4.95
0,0.0002,5.0,1.8827669620513916,4.96
0,0.0002,5.0,1.8875854015350342,4.97
0,0.0002,5.0,1.8920443058013916,4.96
0,0.0002,5.0,1.8965306282043457,4.97
0,0.0002,5.0,1.9005444049835205,4.96
0,0.0002,5.0,1.9055140018463135,4.97
0,0.0002,5.0,1.9095234870910645,4.96
0,0.0002,5.0,1.9131615161895752,4.96
0,0.0002,5.0,1.9171075820922852,4.97
0,0.0002,5.0,1.9215197563171387,4.96
0,0.0002,5.0,1.9255108833312988,4.97
0,0.0002,5.0,1.9295125007629395,4.96
0,0.0002,5.0,1.932905912399292,4.96
0,0.0002,5.0,1.9372618198394775,4.96
0,0.0002,5.0,1.9408624172210693,4.97
0,0.0002,5.0,1.9449050426483154,4.96
0,0.0002,5.0,1.9491007328033447,4.97
0,0.0002,5.0,1.9531548023223877,4.97
0,0.0002,5.0,1.9571778774261475,4.97
0,0.0002,5.0,1.9612414836883545,4.96
0,0.0002,5.0,1.9656376838684082,4.97
0,0.0002,5.0,1.9701564311981201,4.96
0,0.0002,5.0,1.9745330810546875,4.96
0,0.0002,5.0,1.979083776473999,4.97
0,0.0002,5.0,1.9834842681884766,4.97
0,0.0002,5.0,1.9871280193328857,4.97
0,0.0002,5.0,1.9909870624542236,4.96
0,0.0002,5.0,1.995492696762085,4.96
0,0.0002,5.0,1.9991264343261719,4.97
1,0.0002,5.625,4.0531158447265625e-06,3.33
1,0.0002,5.625,0.006749629974365234,3.48
1,0.0002,5.625,0.01068568229675293,4.39
1,0.0002,5.625,0.014581680297851562,4.51
1,0.0002,5.625,0.018588542938232422,4.5
1,0.0002,5.625,0.02282571792602539,4.48
1,0.0002,5.625,0.02680516242980957,4.38
1,0.0002,5.625,0.03074479103088379,4.26
1,0.0002,5.625,0.034748077392578125,4.15
1,0.0002,5.625,0.03886866569519043,4.07
1,0.0002,5.625,0.04297494888305664,3.97
1,0.0002,5.625,0.04728221893310547,3.88
1,0.0002,5.625,0.05070614814758301,3.77
1,0.0002,5.625,0.05468869209289551,3.68
1,0.0002,5.625,0.05868649482727051,3.5700000000000003
1,0.0002,5.625,0.0626978874206543,3.49
1,0.0002,5.625,0.06680536270141602,3.4
1,0.0002,5.625,0.07081389427185059,3.3200000000000003
1,0.0002,5.625,0.07478070259094238,3.23
1,0.0002,5.625,0.07874417304992676,3.14
1,0.0002,5.625,0.08317852020263672,3.06
1,0.0002,5.625,0.08720779418945312,2.98
1,0.0002,5.625,0.09112668037414551,2.9
1,0.0002,5.625,0.09472227096557617,2.82
1,0.0002,5.625,0.09892630577087402,2.75
1,0.0002,5.625,0.1030724048614502,2.68
1,0.0002,5.625,0.10681438446044922,2.61
1,0.0002,5.625,0.11070513725280762,2.54
1,0.0002,5.625,0.11454463005065918,2.49
1,0.0002,5.625,0.11859297752380371,2.4
1,0.0002,5.625,0.12268638610839844,2.35
1,0.0002,5.625,0.1267094612121582,2.29
1,0.0002,5.625,0.13071036338806152,2.23
1,0.0002,5.625,0.134721040725708,2.16
1,0.0002,5.625,0.13871002197265625,2.11
1,0.0002,5.625,0.1427147388458252,2.06
1,0.0002,5.625,0.1467278003692627,2.0100000000000002
1,0.0002,5.625,0.15102910995483398,1.92
1,0.0002,5.625,0.15477728843688965,1.9100000000000001
1,0.0002,5.625,0.15874767303466797,1.85
1,0.0002,5.625,0.16336607933044434,1.76
1,0.0002,5.625,0.16829562187194824,1.73
1,0.0002,5.625,0.1722400188446045,1.69
1,0.0002,5.625,0.17621922492980957,1.6400000000000001
1,0.0002,5.625,0.18021774291992188,1.61
1,0.0002,5.625,0.18420886993408203,1.57
1,0.0002,5.625,0.18778491020202637,1.5
1,0.0002,5.625,0.19223237037658691,1.5
1,0.0002,5.625,0.19571328163146973,1.47
1,0.0002,5.625,0.19946551322937012,1.43
1,0.0002,5.625,0.20357823371887207,1.4000000000000001
1,0.0002,5.625,0.20758342742919922,1.37
1,0.0002,5.625,0.21159815788269043,1.35
1,0.0002,5.625,0.21552801132202148,1.31
1,0.0002,5.625,0.21947741508483887,1.27
1,0.0002,5.625,0.22388601303100586,1.24
1,0.0002,5.625,0.22777295112609863,1.21
1,0.0002,5.625,0.23220324516296387,1.19
1,0.0002,5.625,0.23565459251403809,1.16
